Date : 2023-08-27 20:11:22
Directory : d:\react\my_court_query_system\my_court_query_system
Total : 51 files,  37069 codes, 789 comments, 463 blanks, all 38321 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     33,043 |          0 |          3 |     33,046 |
| JavaScript |         41 |      3,915 |        765 |        416 |      5,096 |
| CSS        |          4 |         52 |          1 |         10 |         63 |
| Markdown   |          1 |         38 |          0 |         33 |         71 |
| HTML       |          1 |         20 |         23 |          1 |         44 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                            |         51 |     37,069 |        789 |        463 |     38,321 |
| . (Files)                                                                                                                    |          3 |     33,056 |          0 |         35 |     33,091 |
| public                                                                                                                       |          2 |         45 |         23 |          2 |         70 |
| src                                                                                                                          |         46 |      3,968 |        766 |        426 |      5,160 |
| src (Files)                                                                                                                  |         11 |        222 |         37 |         35 |        294 |
| src\components                                                                                                               |         26 |      2,722 |        605 |        298 |      3,625 |
| src\components\AddInfoBar                                                                                                    |          1 |        103 |         28 |         18 |        149 |
| src\components\AdminHeader                                                                                                   |          1 |        146 |         29 |         19 |        194 |
| src\components\AdminHeaderOld                                                                                                |          1 |        222 |          7 |         10 |        239 |
| src\components\AdminMain                                                                                                     |          1 |         46 |         41 |          8 |         95 |
| src\components\AdminPageItemInfoShowTable                                                                                    |          1 |        101 |         15 |         16 |        132 |
| src\components\AdminSlider                                                                                                   |          1 |        178 |          2 |          8 |        188 |
| src\components\ConfirmationDialog                                                                                            |          1 |         21 |          0 |          3 |         24 |
| src\components\CourtInfo                                                                                                     |          2 |         88 |         91 |         16 |        195 |
| src\components\ErrorMsg                                                                                                      |          1 |         43 |         11 |          5 |         59 |
| src\components\EvaluateZone                                                                                                  |          1 |        193 |          4 |         19 |        216 |
| src\components\FindTeam                                                                                                      |          1 |        127 |         21 |         10 |        158 |
| src\components\Header                                                                                                        |          2 |        105 |         40 |         19 |        164 |
| src\components\ImageCarousel                                                                                                 |          1 |         71 |         23 |          9 |        103 |
| src\components\InfoListSearch                                                                                                |          1 |        263 |         19 |         13 |        295 |
| src\components\LoginForm                                                                                                     |          1 |         96 |          3 |          8 |        107 |
| src\components\QueryForm                                                                                                     |          1 |        157 |         58 |         20 |        235 |
| src\components\RegisterForm                                                                                                  |          1 |        130 |          4 |         11 |        145 |
| src\components\ShowQueryData                                                                                                 |          1 |         90 |         50 |         22 |        162 |
| src\components\ShowTeamData                                                                                                  |          1 |         68 |         13 |         12 |         93 |
| src\components\ShowTodayEvent                                                                                                |          1 |         64 |         45 |         14 |        123 |
| src\components\Test2                                                                                                         |          1 |         50 |          7 |          2 |         59 |
| src\components\TestDiv                                                                                                       |          1 |         50 |          7 |          3 |         60 |
| src\components\TimeShow                                                                                                      |          1 |         99 |         72 |         21 |        192 |
| src\components\TodayEvent                                                                                                    |          1 |        211 |         15 |         12 |        238 |
| src\highOrderComponent                                                                                                       |          1 |         16 |          6 |          4 |         26 |
| src\pages                                                                                                                    |          8 |      1,008 |        118 |         89 |      1,215 |
| src\pages\AdminPage                                                                                                          |          1 |         93 |         43 |         18 |        154 |
| src\pages\AdminPageAddItempage                                                                                               |          1 |        367 |         16 |         15 |        398 |
| src\pages\AdminPageEditItempage                                                                                              |          1 |        371 |         22 |         21 |        414 |
| src\pages\AdminPageInfoShow                                                                                                  |          1 |         32 |          3 |          7 |         42 |
| src\pages\CourtInfoPage                                                                                                      |          1 |         25 |          7 |          5 |         37 |
| src\pages\HomePage                                                                                                           |          1 |         92 |         27 |         17 |        136 |
| src\pages\LoginPage                                                                                                          |          1 |         16 |          0 |          3 |         19 |
| src\pages\RegisterPage                                                                                                       |          1 |         12 |          0 |          3 |         15 |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                     | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\react\my_court_query_system\my_court_query_system\README.md                                                               | Markdown   |         38 |          0 |         33 |         71 |
