"filename", "language", "CSS", "JavaScript", "Markdown", "XML", "HTML", "JSON", "comment", "blank", "total"
"d:\react\my_court_query_system\my_court_query_system\README.md", "Markdown", 0, 0, -38, 0, 0, 0, 0, -33, -71
"d:\react\my_court_query_system\my_court_query_system\package-lock.json", "JSON", 0, 0, 0, 0, 0, -32964, 0, -1, -32965
"d:\react\my_court_query_system\my_court_query_system\package.json", "JSON", 0, 0, 0, 0, 0, -54, 0, -1, -55
"d:\react\my_court_query_system\my_court_query_system\public\index.html", "HTML", 0, 0, 0, 0, -20, 0, -23, -1, -44
"d:\react\my_court_query_system\my_court_query_system\public\manifest.json", "JSON", 0, 0, 0, 0, 0, -25, 0, -1, -26
"d:\react\my_court_query_system\my_court_query_system\src\App.css", "CSS", -33, 0, 0, 0, 0, 0, 0, -6, -39
"d:\react\my_court_query_system\my_court_query_system\src\App.js", "JavaScript", 0, -18, 0, 0, 0, 0, 0, -4, -22
"d:\react\my_court_query_system\my_court_query_system\src\App.test.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, -2, -9
"d:\react\my_court_query_system\my_court_query_system\src\api.js", "JavaScript", 0, -16, 0, 0, 0, 0, -8, -6, -30
"d:\react\my_court_query_system\my_court_query_system\src\components\AdminHeaderOld\AdminHeaderOld.js", "JavaScript", 0, -222, 0, 0, 0, 0, -7, -10, -239
"d:\react\my_court_query_system\my_court_query_system\src\components\AdminHeader\AdminHeader.js", "JavaScript", 0, -146, 0, 0, 0, 0, -29, -19, -194
"d:\react\my_court_query_system\my_court_query_system\src\components\AdminMain\AdminMain.js", "JavaScript", 0, -46, 0, 0, 0, 0, -41, -8, -95
"d:\react\my_court_query_system\my_court_query_system\src\components\AdminPageItemInfoShowTable\AdminPageItemInfoShowTable.js", "JavaScript", 0, -101, 0, 0, 0, 0, -15, -16, -132
"d:\react\my_court_query_system\my_court_query_system\src\components\AdminSlider\AdminSlider.js", "JavaScript", 0, -178, 0, 0, 0, 0, -2, -8, -188
"d:\react\my_court_query_system\my_court_query_system\src\components\ConfirmationDialog\ConfirmationDialog.js", "JavaScript", 0, -21, 0, 0, 0, 0, 0, -3, -24
